driver_name,driver_phone,district,customer_name,customer_email,delivery_date,address,customer_phone,order_no,customer_status,paid_status,packaging_option,distance_in_km,Zone_Name,Zone_Price,hubs,total_price,time_slot,payment_method,total_weight_perorder,shipping_number (Box #)
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan pinang,Customer_0,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-1,Cash on Delivery,5,33
3PLB-DRIVER-1,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_1,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-0,Cash on Delivery,5,33
3PLB-DRIVER-3,0812-XXXX-XXXX,kecamatan penjaringan,Customer_2,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_3,RETURNING,1,PLASTIC,6.8,Zone 3,7000,Kembangan - JAKBAR,151710,slot-sameday03,ShopeePay,4,197
3PLB-DRIVER-2,0812-XXXX-XXXX,kecamatan pademangan,Customer_3,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_4,RETURNING,1,PLASTIC,4.79,Zone 2,6500,Kramat - JAKPUS,162800,slot-1,MANDIRI VA Transferpay!,4,99
Sample_Driver_9,0812-XXXX-XXXX,cikarang selatan,Customer_4,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_3,RETURNING,1,PLASTIC,6.8,Zone 3,7000,Kembangan - JAKBAR,151710,slot-0,ShopeePay,4,197
3PLB-DRIVER-2,0812-XXXX-XXXX,sepatan,Customer_5,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-13,Cash on Delivery,5,33
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan grogol petamburan,Customer_6,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_1,RETURNING,1,HALF MEDIUM BOX,11.13,Zone 4,11000,Bintaro - TANGSEL,116100,slot-1bb,OVO Wallet,2,85
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan grogol petamburan,Customer_7,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_9,RETURNING,1,HALF MEDIUM BOX,6.9,Zone 3,7000,Kramat - JAKPUS,126900,slot-1,Credit Card,4,90
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan pademangan,Customer_8,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_1,RETURNING,1,HALF MEDIUM BOX,11.13,Zone 4,11000,Bintaro - TANGSEL,116100,slot-1,OVO Wallet,2,85
Sample_Driver_8,0812-XXXX-XXXX,kecamatan jatinegara,Customer_9,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_0,RETURNING,1,PLASTIC,5.54,Zone 2,6500,Kramat - JAKPUS,227370,slot-0bb,Cash on Delivery,5,242
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_10,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_2,RETURNING,1,PLASTIC,7.03,Zone 3,7000,Kembangan - JAKBAR,624450,slot-1,Credit Card,8,24
3PLB-DRIVER-2,0812-XXXX-XXXX,kecamatan setiabudi,Customer_11,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_0,RETURNING,1,PLASTIC,5.54,Zone 2,6500,Kramat - JAKPUS,227370,slot-sameday03,Cash on Delivery,5,242
Sample_Driver_9,0812-XXXX-XXXX,kecamatan setiabudi,Customer_12,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_1,RETURNING,1,HALF MEDIUM BOX,11.13,Zone 4,11000,Bintaro - TANGSEL,116100,slot-0bb,OVO Wallet,2,85
3PLB-DRIVER-2,0812-XXXX-XXXX,sepatan,Customer_13,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_1,RETURNING,1,HALF MEDIUM BOX,11.13,Zone 4,11000,Bintaro - TANGSEL,116100,slot-0bb,OVO Wallet,2,85
Sample_Driver_9,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_14,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_3,RETURNING,1,PLASTIC,6.8,Zone 3,7000,Kembangan - JAKBAR,151710,slot-2,ShopeePay,4,197
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan pademangan,Customer_15,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_0,RETURNING,1,PLASTIC,5.54,Zone 2,6500,Kramat - JAKPUS,227370,slot-2,Cash on Delivery,5,242
3PLB-DRIVER-3,0812-XXXX-XXXX,sepatan,Customer_16,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_5,,1,,8.03,Zone 3,7000,Kramat - JAKPUS,273600,slot-2,Cash on Delivery,5,276
Sample_Driver_9,0812-XXXX-XXXX,kecamatan jatinegara,Customer_17,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_4,RETURNING,1,PLASTIC,4.79,Zone 2,6500,Kramat - JAKPUS,162800,slot-sameday03,MANDIRI VA Transferpay!,4,99
3PLB-DRIVER-2,0812-XXXX-XXXX,kecamatan pinang,Customer_18,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_0,RETURNING,1,PLASTIC,5.54,Zone 2,6500,Kramat - JAKPUS,227370,slot-1,Cash on Delivery,5,242
Sample_Driver_9,0812-XXXX-XXXX,kecamatan parung panjang,Customer_19,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_2,RETURNING,1,PLASTIC,7.03,Zone 3,7000,Kembangan - JAKBAR,624450,slot-sameday03,Credit Card,8,24
3PLB-DRIVER-3,0812-XXXX-XXXX,kecamatan pademangan,Customer_20,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_3,RETURNING,1,PLASTIC,6.8,Zone 3,7000,Kembangan - JAKBAR,151710,slot-0bb,ShopeePay,4,197
3PLB-DRIVER-2,0812-XXXX-XXXX,kecamatan grogol petamburan,Customer_21,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-1,Credit Card,2,34
3PLB-DRIVER-2,0812-XXXX-XXXX,cikarang selatan,Customer_22,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_8,RETURNING,1,HALF MEDIUM BOX,3.65,Zone 2,6500,Beji - Depok,78200,slot-0bb,GO-PAY Wallet,2,111
3PLC-DRIVER-1,0812-XXXX-XXXX,sepatan,Customer_23,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_2,RETURNING,1,PLASTIC,7.03,Zone 3,7000,Kembangan - JAKBAR,624450,slot-0bb,Credit Card,8,24
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan pademangan,Customer_24,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-sameday03,Cash on Delivery,5,33
3PLB-DRIVER-1,0812-XXXX-XXXX,kecamatan setiabudi,Customer_25,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-13,Cash on Delivery,5,33
3PLB-DRIVER-1,0812-XXXX-XXXX,kecamatan parung panjang,Customer_26,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-1bb,Cash on Delivery,5,33
3PLA-DRIVER-2,0812-XXXX-XXXX,kecamatan grogol petamburan,Customer_27,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_8,RETURNING,1,HALF MEDIUM BOX,3.65,Zone 2,6500,Beji - Depok,78200,slot-sameday,GO-PAY Wallet,2,111
3PLB-DRIVER-3,0812-XXXX-XXXX,kecamatan penjaringan,Customer_28,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_3,RETURNING,1,PLASTIC,6.8,Zone 3,7000,Kembangan - JAKBAR,151710,slot-2,ShopeePay,4,197
3PLB-DRIVER-3,0812-XXXX-XXXX,kecamatan pinang,Customer_29,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_4,RETURNING,1,PLASTIC,4.79,Zone 2,6500,Kramat - JAKPUS,162800,slot-1,MANDIRI VA Transferpay!,4,99
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan pinang,Customer_30,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_5,,1,,8.03,Zone 3,7000,Kramat - JAKPUS,273600,slot-1,Cash on Delivery,5,276
Sample_Driver_9,0812-XXXX-XXXX,kecamatan grogol petamburan,Customer_31,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-13,Credit Card,2,34
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan setiabudi,Customer_32,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_9,RETURNING,1,HALF MEDIUM BOX,6.9,Zone 3,7000,Kramat - JAKPUS,126900,slot-sameday,Credit Card,4,90
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan jatinegara,Customer_33,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-2,Credit Card,2,34
3PLB-DRIVER-3,0812-XXXX-XXXX,cikarang selatan,Customer_34,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-1,Credit Card,2,34
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_35,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-1bb,Credit Card,2,34
3PLA-DRIVER-1,0812-XXXX-XXXX,sepatan,Customer_36,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_9,RETURNING,1,HALF MEDIUM BOX,6.9,Zone 3,7000,Kramat - JAKPUS,126900,slot-0bb,Credit Card,4,90
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan pinang,Customer_37,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_6,NEW,1,MEDIUM BOX,9.05,Zone 4,11000,Cibitung - KAB BEKASI,169800,slot-2,Cash on Delivery,5,33
Sample_Driver_8,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_38,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_9,RETURNING,1,HALF MEDIUM BOX,6.9,Zone 3,7000,Kramat - JAKPUS,126900,slot-sameday03,Credit Card,4,90
3PLC-DRIVER-1,0812-XXXX-XXXX,kecamatan setiabudi,Customer_39,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-1bb,Credit Card,2,34
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan setiabudi,Customer_40,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_4,RETURNING,1,PLASTIC,4.79,Zone 2,6500,Kramat - JAKPUS,162800,slot-0bb,MANDIRI VA Transferpay!,4,99
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_41,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_1,RETURNING,1,HALF MEDIUM BOX,11.13,Zone 4,11000,Bintaro - TANGSEL,116100,slot-0,OVO Wallet,2,85
3PLB-DRIVER-1,0812-XXXX-XXXX,kecamatan parung panjang,Customer_42,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_9,RETURNING,1,HALF MEDIUM BOX,6.9,Zone 3,7000,Kramat - JAKPUS,126900,slot-1bb,Credit Card,4,90
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan jatinegara,Customer_43,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_0,RETURNING,1,PLASTIC,5.54,Zone 2,6500,Kramat - JAKPUS,227370,slot-1bb,Cash on Delivery,5,242
3PLC-DRIVER-1,0812-XXXX-XXXX,kecamatan parung panjang,Customer_44,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_4,RETURNING,1,PLASTIC,4.79,Zone 2,6500,Kramat - JAKPUS,162800,slot-sameday03,MANDIRI VA Transferpay!,4,99
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan pademangan,Customer_45,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_8,RETURNING,1,HALF MEDIUM BOX,3.65,Zone 2,6500,Beji - Depok,78200,slot-sameday,GO-PAY Wallet,2,111
3PLC-DRIVER-2,0812-XXXX-XXXX,kecamatan setiabudi,Customer_46,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_2,RETURNING,1,PLASTIC,7.03,Zone 3,7000,Kembangan - JAKBAR,624450,slot-sameday03,Credit Card,8,24
3PLC-DRIVER-1,0812-XXXX-XXXX,kecamatan grogol petamburan,Customer_47,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_2,RETURNING,1,PLASTIC,7.03,Zone 3,7000,Kembangan - JAKBAR,624450,slot-0,Credit Card,8,24
3PLB-DRIVER-1,0812-XXXX-XXXX,kecamatan penjaringan,Customer_48,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_0,RETURNING,1,PLASTIC,5.54,Zone 2,6500,Kramat - JAKPUS,227370,slot-2,Cash on Delivery,5,242
3PLA-DRIVER-1,0812-XXXX-XXXX,kecamatan jagakarsa,Customer_49,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_1,RETURNING,1,HALF MEDIUM BOX,11.13,Zone 4,11000,Bintaro - TANGSEL,116100,slot-13,OVO Wallet,2,85
3PLB-DRIVER-1,0812-XXXX-XXXX,kecamatan jatinegara,Customer_50,cust@XXXX.com,2026-04-01,"Anonymized Street, Jabodetabek",0812-XXXX-XXXX,Sample_Order_7,RETURNING,1,HALF MEDIUM BOX,7.41,Zone 3,7000,Satellite HUB Karawaci,126300,slot-0,Credit Card,2,34
